9303	["Emission Unit or Activity ID", "Emission Unit or Activity Description", "Source Classification Code (SCC)", "Production / Process Rate", "Units (e.g. million cubic feet, 1000 gallons, etc.)", "Production Type (e.g. natural gas, metals, wood, etc.)", "Production / Process Rate", "Units (e.g. million cubic feet, 1000 gallons, etc.)", "Production Type (e.g. natural gas, metals, wood, etc.)", "Control Device Type", "Overall Control Efficiency (% decimal)"]	3
8668	["Emission Unit or Activity ID", "Material Name", "Product Name", "Product Manufacturer", "2016 Calendar Year", "Projected Maximum Year", "Unit (pounds or gallons)", "Specific Gravity", "Product Density (lb/gallon)", "2016 Calendar Year", "Projected Maximum Year", "Control Device Type", "Capture Efficiency (% decimal)"]	4
6597	["Emission Unit or Activity ID", "Emission Unit / Activity Description", "Production / Process Rate 1", "Units 1", "Production Type 1 (e.g. natural gas, metals, wood, etc.)", "Production / Process Rate 2", "Units 2", "Production Type 2 (e.g. natural gas, metals, wood, etc.)", "Control Device Type", "Capture Efficiency (%)", "Destruction Efficiency (%)"]	2
3544	["Emission Unit or Activity ID", "Material Name", "Product Name", "Product Manufacturer", "2016 Calendar Year", "Projected Maximum Year", "Unit Type", "Volume Per Unit", "Volume Unit Type", "Specific Gravity", "Product Density (lb/gallon)", "2016 Calendar Year 2", "Projected Maximum Year 2"]	4
7161	["Emission Unit or Activity ID", "Material Name", "Product Name", "Product Manufacturer", "2016 Calendar Year", "Projected Maximum Year", "Unit (pounds or gallons)", "Specific Gravity", "Product Density (lb/gallon)", "2016 Calendar Year", "Projected Maximum Year", "Control Device Type", "Capture Efficiency (% decimal)", "Destruction Efficiency (% decimal)"]	4
857	["Emission Unit or Activity ID", "Material Name", "Product Name", "Product Manufacturer", "2016 Calendar Year", "Projected Maximum Year", "Unit (pounds or gallons)", "Specific Gravity", "Product Density (lb/gallon)", "2016 Calendar Year", "Projected Maximum Year", "Control Device Type"]	4
3393	["Emission Unit or Activity ID", "Material Name", "Product Name", "Product Manufacturer", "2016 Calendar Year", "Projected Maximum Year", "Unit (pounds or gallons)", "Specific Gravity", "Product Density (lb/gallon)", "2016 Calendar Year", "Projected Maximum Year", "Control Device Type", "Destruction Efficiency (% decimal)"]	4
7911	["Emission Unit or Activity ID", "Emission Unit or Activity Description", "Source Classification Code (SCC)", "Production / Process Rate", "Units (e.g. miIIion cubic feet, 1000 gaIIons, etc.)", "Production Type (e.g. natural gas, metals, wood, etc.)", "Production / Process Rate", "Units (e.g. miIIion cubic feet, 1000 gaIIons, etc.)", "Production Type (e.g. natural gas, metals, wood, etc.)", "Control Device Type", "OveraII Control Efficiency (% decimal)"]	3
8715	["Emission Unit or Activity ID", "Material Name", "Product Name", "Product Manufacturer", "2016 Calendar Year", "Projected Maximum Year", "Unit (dry pounds)", "Specific Gravity", "Product Density (lb/gallon)", "2016 Calendar Year", "Projected Maximum Year", "Control Device Type", "Capture Efficiency (% decimal)", "Destruction Efficiency (% decimal)"]	4
6714	["Emission Unit or Activity ID", "Emission Unit or Activity Description", "Source Classification Code (SCC)", "Production / Process Rate", "Units (e.g. million cubic feet, 1000 gallons, etc.)", "Production Type (e.g. natural gas, metals, wood, etc.)", "Production / Process Rate", "Units (e.g. million cubic feet, 1000 gallons, etc.)", "Production Type (e.g. natural gas, metals, wood, etc.)", "Control Device Type (1)", "Control Device Type (2)", "Overall Control Efficiency (% decimal)"]	3
